timestamp,frame,track_id,line_index,cx,cy,speed_kmh
23:02:08.241,16,3,1,1177,1833,100.8
23:02:30.777,45,6,1,1284,1970,85.9
23:02:35.504,51,12,5,2485,137,0
23:02:51.494,72,10,2,2126,1972,92.4
23:03:19.406,113,5,3,2593,1586,53.6
23:03:31.049,129,3,2,2271,1843,93.7
23:03:46.575,148,14,2,2133,1974,93.4
23:03:51.575,154,16,1,1260,1942,84.6
23:04:06.373,172,8,3,2727,1475,12.7
23:04:10.332,178,18,1,1173,1837,87.0
23:04:14.300,184,1,0,832,1486,83.3
23:04:46.923,228,27,1,1279,1957,87.0
23:04:55.304,239,24,1,1177,1841,93.1
23:04:57.486,241,21,5,2501,163,22.7
23:05:03.889,250,16,2,2160,1949,111.7
23:05:22.261,271,12,0,836,1495,96.8
23:05:26.133,276,30,6,1539,139,81.8
23:05:57.018,319,33,2,2151,1976,116.9
23:05:59.067,321,32,1,1274,1961,92.5
23:06:07.649,331,8,4,2867,449,80.3
23:06:38.707,367,34,5,2485,145,69.9
23:06:51.409,381,36,1,1271,1952,90.8
23:07:11.343,405,39,2,2116,1989,119.7
23:07:20.100,416,35,5,2547,239,85.5
23:07:27.615,427,18,4,2795,550,108.3
23:07:54.871,465,5,0,938,1615,114.7
23:07:58.257,469,45,1,1285,1962,0
23:08:00.837,472,24,4,2834,541,121.0
23:08:28.550,509,21,0,833,1490,91.0
