frame,track_id,speed_kmh
10,2,66.5
20,2,68.1
20,3,97.5
20,5,2.4
20,1,87.1
30,2,81.1
30,3,100.6
30,1,85.7
30,9,98.9
30,6,52.6
30,8,88.8
40,1,87.2
40,6,83.5
40,10,78.6
50,1,85.0
50,6,81.3
50,3,99.9
50,8,69.2
50,10,84.6
50,9,100.7
60,6,80.9
60,3,101.7
60,8,50.8
60,10,85.8
60,5,3.4
60,9,99.5
70,8,33.9
70,10,88.1
70,5,6.8
70,6,78.8
70,3,101.6
70,1,85.3
70,9,101.6
80,8,21.5
80,10,94.4
80,5,16.5
80,6,179.5
80,3,104.0
80,1,85.0
90,8,12.3
90,5,29.0
90,10,169.3
90,3,102.7
100,8,6.3
100,3,97.6
100,1,82.8
100,5,40.1
100,12,107.3
110,8,3.4
110,3,101.6
110,9,104.1
110,5,52.8
110,1,80.6
120,8,2.4
120,3,88.0
120,14,87.5
120,5,60.7
120,1,76.8
120,12,105.4
130,3,94.6
130,14,90.8
130,8,2.0
130,16,71.5
130,12,103.1
130,9,98.0
140,3,99.3
140,14,92.7
140,8,1.5
140,18,79.8
140,16,56.8
140,12,97.8
140,1,79.1
140,9,95.1
140,5,81.9
150,3,108.7
150,14,93.8
150,8,2.4
150,18,88.3
150,16,94.1
150,12,97.0
150,1,81.4
150,9,95.0
160,14,193.2
160,8,5.8
160,18,66.9
160,16,79.0
160,12,98.2
160,1,78.6
160,3,104.0
160,21,33.2
160,9,91.8
170,8,10.3
170,18,84.8
170,1,82.0
170,9,94.5
170,16,82.3
180,8,17.1
180,18,82.5
180,1,82.7
180,16,85.8
180,9,97.6
190,8,30.5
190,18,83.5
190,1,91.8
190,16,89.5
190,9,101.2
200,18,79.7
200,1,92.0
200,16,93.4
200,8,40.7
200,21,20.8
200,9,97.3
200,5,84.5
200,12,98.5
210,1,99.8
210,8,47.9
210,16,93.4
210,12,99.9
210,9,98.2
220,1,103.0
220,8,55.8
220,18,83.4
220,21,11.7
220,24,83.4
220,12,97.2
220,27,65.2
230,1,112.9
230,8,63.0
230,18,84.7
230,24,86.1
230,27,87.7
230,5,82.7
240,1,114.4
240,8,72.8
240,24,95.9
240,27,87.0
240,21,23.7
240,16,102.7
240,12,100.5
240,18,89.0
250,1,120.9
250,24,97.3
250,27,87.5
250,16,111.7
250,18,86.5
250,12,106.9
250,21,35.3
260,1,121.3
260,24,105.3
260,16,118.5
260,18,85.6
260,12,104.4
260,5,82.7
260,21,26.2
270,1,105.1
270,12,101.3
270,5,83.1
270,8,79.8
270,16,118.0
270,18,86.2
270,30,81.2
270,24,106.7
280,12,125.5
280,5,85.7
280,30,80.9
290,5,82.2
290,30,66.9
290,18,81.4
290,21,54.1
300,30,83.9
300,5,81.2
300,21,59.6
300,18,84.7
310,32,67.4
310,12,128.5
310,24,98.2
310,18,81.3
310,5,80.7
320,32,94.0
320,12,128.2
320,24,94.3
320,18,84.3
320,33,114.0
330,12,127.0
330,24,91.9
330,5,79.7
330,33,193.6
330,32,90.5
330,21,94.6
330,31,18.9
330,18,86.7
340,12,134.1
340,31,32.9
340,5,80.1
340,8,83.5
340,18,83.0
350,12,80.4
350,31,31.8
350,5,79.0
350,8,99.0
360,31,50.2
360,24,68.0
360,21,95.3
360,5,84.0
360,18,88.2
370,31,19.3
370,34,67.2
370,24,86.4
370,35,41.6
370,5,87.3
370,18,93.0
370,8,114.9
370,21,93.8
370,36,72.6
380,31,17.4
380,34,75.5
380,18,95.1
380,37,0.0
380,35,53.2
380,36,92.5
380,8,110.5
380,21,93.7
380,24,86.9
390,31,20.7
390,34,66.3
390,35,68.7
390,36,92.4
390,21,94.1
390,24,88.6
390,18,98.2
390,37,0.7
390,5,87.0
400,31,27.3
400,34,76.8
400,21,91.9
400,24,94.8
400,5,84.8
400,18,100.9
410,31,15.6
410,5,87.0
410,35,83.2
410,34,74.7
410,39,122.0
410,40,51.5
410,24,94.7
410,36,137.6
420,31,16.2
420,35,88.5
420,34,83.5
420,5,88.4
420,18,106.1
420,39,171.8
420,40,47.5
420,21,100.0
430,31,13.1
430,35,91.2
430,21,105.9
430,34,81.2
430,24,102.7
430,18,108.6
440,31,13.2
440,34,83.8
440,40,33.3
440,35,94.5
440,24,106.7
440,5,95.8
450,31,9.3
450,35,98.2
450,5,102.6
450,34,85.1
450,18,113.6
460,31,11.1
460,35,84.5
460,5,104.8
460,34,83.2
460,21,101.3
460,40,21.9
460,18,144.6
470,31,10.7
470,35,80.1
470,40,15.6
470,34,93.7
470,18,130.3
470,21,100.6
480,31,9.3
480,35,77.0
480,40,12.1
480,34,88.6
480,21,96.3
480,5,101.0
490,31,10.7
490,35,75.7
490,40,16.5
490,34,92.4
490,21,90.9
490,5,144.3
500,35,78.9
500,34,93.7
500,5,133.5
500,21,119.8
500,31,8.2
500,40,13.9
500,24,138.3
510,34,95.6
510,5,144.3
510,21,113.9
510,31,4.3
510,35,78.1
510,40,11.0
